Longitude;Latitude;geohash;unique_prefix
-113.96;50.93;c3ncwz8bg81v;c3ncwz8
-114.08;51.04;c3nfk593x3c0;c3nfk59
-114.06;51.05;c3nfkt25c3te;c3nfkt2
-114.08;51.05;c3nfkj37z395;c3nfkj3
-114.06;51.05;c3nfkt25c3te;c3nfkt2
-114.07;50.88;c3nckq2v2rek;c3nckq2
-114.21;51.06;c3nf3p4y44hk;c3nf3p4
-114.07;51.05;c3nfkm2gb3e7;c3nfkm2
-113.95;51.12;c3nfz405sd7z;c3nfz40
-114.04;50.88;c3nckyqt7rsh;c3nckyq
-114.17;51.04;c3nf3gxcw1z0;c3nf3gx
-114.01;51.12;c3nfvdh7w6kz;c3nfvdh
-114.2;51.13;c3nfc7fjg5n2;c3nfc7f
-113.98;51.05;c3nfqm67c3te;c3nfqm6
-114.07;50.96;c3ncukbz8277;c3ncukb
-114.07;51.05;c3nfkm2gb3e7;c3nfkm2
-114.17;51.01;c3nf1ypfy0zh;c3nf1yp
